participant_id,condition,count_time,count_topic,count_typing,seq_typing_mean_run_explore,PC1,PC2,PC3
161,clumpy,3.5,4.0,2.0,4.25,0.33706544156582297,0.795949100633583,-0.6905691375436265
162,diffuse,1.5,5.5,1.5,3.75,0.6209610602689972,-1.5984112747937016,0.13794861740484327
164,clumpy,4.5,8.5,1.0,10.5,4.280396422310462,-1.4021476004425324,-2.0575042746360293
165,clumpy,2.0,2.0,0.0,,-2.6211977037581966,-0.21257854104986618,-1.384508010196004
166,diffuse,1.5,4.5,1.5,5.0,-0.23150600369848906,-1.0756873958677016,0.13022519515759573
168,clumpy,1.5,3.5,1.0,6.0,-1.2400423859592085,-0.8133541267130049,-0.2747879176561382
169,clumpy,4.5,4.5,3.5,2.583333333333333,1.6508747579066751,1.9907009641179836,-0.10194951079258602
170,clumpy,6.0,4.0,3.5,2.75,1.8536929701390505,3.2644758640312195,-1.0164779560242738
171,clumpy,1.0,3.0,1.5,2.0,-1.719890514388426,-0.6290725642954471,0.422195639822746
172,clumpy,3.0,9.0,5.0,3.2083333333333335,5.326132756423943,-0.5927976221853426,2.0353416951275514
173,clumpy,2.0,9.5,5.5,4.291666666666666,5.4890677772235055,-1.26871092551053,3.0436042528897045
174,clumpy,2.5,3.5,2.0,2.25,-0.5085359198953316,0.3823690664630923,-0.08731969259520755
176,diffuse,2.0,3.0,2.0,2.5,-1.1444533666177819,0.30626001910934686,0.21237417431718986
177,clumpy,2.5,1.5,2.5,1.1666666666666665,-2.057400729537073,1.6882074340863955,0.2945231534767842
178,clumpy,1.5,2.0,1.5,1.0,-2.3626736636172065,0.23112230144729817,0.11091663953947722
179,clumpy,1.0,0.0,1.0,3.0,-4.4333610245841175,0.6787084627112494,0.0017356825145171673
181,clumpy,1.0,1.5,1.5,1.75,-2.998591110339656,0.1550132540935527,0.4106105064518748
183,diffuse,1.5,3.0,2.0,2.5,-1.3541372813564876,-0.031210967707398507,0.5159297523532113
184,clumpy,3.5,5.0,2.5,2.75,1.3456018238265424,0.5336158314788864,-0.28555602472989255
185,clumpy,3.0,5.0,4.0,2.333333333333333,1.6041258639675329,0.9773166739760506,1.2098686250055883
186,clumpy,2.5,1.0,2.0,1.25,-2.6397035798140487,1.689178763778092,-0.10662824821332628
189,clumpy,1.5,3.0,1.0,3.5,-1.6662759179429516,-0.551992187250005,-0.27864962877976196
190,clumpy,3.5,5.0,2.5,2.0,1.3456018238265424,0.5336158314788864,-0.28555602472989255
191,clumpy,5.0,5.0,4.0,2.0,2.4428615229223567,2.327200621243032,-0.00435368713849682
192,clumpy,2.0,4.5,3.0,1.5,0.4463858659199129,0.0429554202629534,1.0185386888210344
193,clumpy,1.0,2.5,2.0,2.0,-1.990054728078937,-0.10732001506114397,0.815623619265609
194,clumpy,5.0,10.0,3.5,6.583333333333334,6.549127524466559,-0.5468093831582707,-0.3630262664687464
195,diffuse,3.5,5.5,3.0,3.75,1.9279046741035177,0.5326445017871897,0.11559537696021771
196,clumpy,1.5,2.5,1.5,2.0,-1.936440131633463,-0.030239638015701786,0.11477835066310088
197,diffuse,2.0,4.0,1.0,4.0,-0.6041249392367591,-0.7372450793592595,-0.5744817845685358
198,clumpy,1.0,2.0,1.0,2.0,-2.728426896649145,-0.36673929514075043,0.017182527009012016
199,clumpy,1.0,2.0,2.0,1.0,-2.4162882600626805,0.15404192440185605,0.8117619081419852
200,diffuse,1.0,2.0,1.0,2.0,-2.728426896649145,-0.36673929514075043,0.017182527009012016
201,diffuse,3.5,9.0,3.5,5.083333333333333,5.067608716282955,-1.036498464682507,0.5399170453920703
202,clumpy,1.5,6.0,1.5,4.75,1.0471945922527404,-1.8597732142567014,0.14181032852846692
203,diffuse,3.5,5.5,2.5,3.5,1.7718353558102855,0.27225389201588646,-0.2816943136062689
205,diffuse,1.0,1.5,1.0,1.0,-3.154660428632888,-0.10537735567775047,0.013320815885388249
206,diffuse,5.0,7.0,1.0,10.0,3.2113797410979377,-0.2805907952367871,-2.3726449860429213
207,clumpy,2.0,4.0,2.0,2.5,-0.29198630265029557,-0.21646385981665306,0.2200975965644374
208,diffuse,0.0,1.5,1.5,1.0,-3.417958939817068,-0.5199287195399379,1.0177216625239176
209,diffuse,5.0,3.0,4.0,1.3333333333333333,0.7379273949873841,3.372648379095032,-0.019800531632991447
210,diffuse,1.0,2.0,1.0,2.5,-2.728426896649145,-0.36673929514075043,0.017182527009012016
211,clumpy,0.0,3.5,2.5,1.25,-1.4008861752956303,-1.0445952578493314,1.8277478881513858
212,diffuse,1.0,1.0,1.0,3.0,-3.5808939606166312,0.1559845837852495,0.009459104761764592
213,clumpy,5.0,8.5,1.5,9.0,4.6461496553424,-0.8042860038544838,-1.9637701621055639
