participant_id,condition,typed_chars,pasted_chars,typed_share,n_typing_bursts,typing_duration_s,n_paste_events,prop_pages_with_writing,writing_gini,first_writing_page,first_writing_time_s,final_answer_length,seq_time_mean_run_explore,seq_time_mean_run_exploit,seq_time_max_run,seq_time_entropy,seq_time_lag1_autocorr,seq_topic_mean_run_explore,seq_topic_mean_run_exploit,seq_topic_max_run,seq_topic_entropy,seq_topic_lag1_autocorr,seq_typing_mean_run_explore,seq_typing_mean_run_exploit,seq_typing_max_run,seq_typing_entropy,seq_typing_lag1_autocorr
60,diffuse,43.0,522.0,0.07610619469026549,1.0,10.754000000000019,2.0,0.18181818181818182,0.8283185840707965,7.0,291.826,565.0,2.3333333333333335,1.3333333333333333,4.0,0.9456603046006401,,4.5,1.0,6.0,0.6840384356390418,,3.0,1.0,6.0,0.6840384356390417,
61,diffuse,6.5,888.0,0.00805043277113334,1.0,12.359000000000009,3.5,0.55,0.6509778128005355,3.0,224.005,809.0,2.0,3.5,4.0,0.4591479170272448,,3.5,1.25,3.5,0.8609640474436812,,1.75,2.25,2.5,0.9854752972273343,
62,diffuse,469.5,0.0,1.0,4.5,79.62849999999997,0.0,0.55,0.6102738801942795,2.0,72.8075,460.5,2.5,2.0,3.5,0.8609640474436812,,2.1666666666666665,1.6666666666666665,2.5,0.9854752972273343,,4.0,2.5,4.5,0.8911143594569007,
63,diffuse,498.5,0.0,1.0,5.5,75.21049999999994,0.0,0.2361111111111111,0.7793055555555555,9.5,175.946,477.0,3.8333333333333335,1.5,6.5,0.7877413154838766,,2.375,1.7,3.0,0.9820393824041145,,8.5,2.5,8.5,0.7877413154838766,
71,clumpy,804.0,400.0,0.6677740863787376,4.0,66.86099999999995,1.0,0.4,0.7691029900332226,1.0,32.777,1176.0,2.0,1.5,2.0,0.9709505944546686,,4.0,1.0,4.0,0.7219280948873623,,3.0,1.0,3.0,0.9709505944546686,
72,clumpy,330.0,706.5,0.5813459804535728,2.5,61.80650000000003,1.5,0.1846590909090909,0.8945114409540085,11.5,201.4725,969.0,4.333333333333334,1.25,9.0,0.6944576899110164,,2.875,1.875,5.0,0.9450342220057569,,8.5,1.0,11.0,0.4915307150605549,
73,clumpy,213.0,0.0,1.0,5.0,149.29199999999997,0.0,0.6666666666666666,0.5915492957746479,1.0,69.642,200.0,,3.0,3.0,0.0,,1.0,1.0,1.0,0.9182958340544896,,1.0,2.0,2.0,0.9182958340544896,
74,diffuse,559.0,0.0,1.0,3.5,59.232499999999995,0.0,0.33035714285714285,0.6832351970063835,3.0,143.249,558.0,1.8333333333333335,2.25,2.5,0.9698310694796083,,4.0,1.5,4.0,0.7958363892911636,,2.0833333333333335,1.75,2.5,0.9087772857457981,
75,clumpy,58.5,680.0,0.11129916769794472,1.0,6.6595000000000155,3.5,0.25,0.75,3.5,108.7165,738.0,1.5,1.0,2.0,0.9182958340544896,,1.0,4.0,4.0,0.4591479170272448,,3.5,1.0,3.5,0.7841591278514218,
80,diffuse,672.5,0.0,1.0,3.0,27.50449999999998,0.0,0.3666666666666667,0.7031313131313132,1.5,55.245000000000005,616.0,1.5,3.5,3.5,0.9446232142545791,,2.75,1.25,3.0,0.8609640474436812,,1.6666666666666665,1.0,2.0,0.8201119644709259,
