participant_id,condition,n_visits,n_unique_topics,topic_concentration,topic_entropy,transition_entropy,same_topic_repeat_rate,style
53,diffuse,13,4,0.46153846153846156,0.5520671023747773,0.1382172954718375,0.3333333333333333,hunter
54,diffuse,12,5,0.25,0.6901056208558031,0.27112316739826,0.2727272727272727,busybody
56,clumpy,18,5,0.2777777777777778,0.6805639657815982,0.1879966188144806,0.058823529411764705,busybody
57,clumpy,9,6,0.2222222222222222,0.7535558456633374,0.10034333188799373,0.25,busybody
59,clumpy,30,6,0.36666666666666664,0.6951652283798868,0.28938667958041153,0.5517241379310345,busybody
60,diffuse,11,4,0.5454545454545454,0.4868225700254207,0.23856062735983122,0.2,hunter
61,diffuse,11,6,0.2727272727272727,0.7470705271452366,0.10034333188799373,0.1,busybody
62,diffuse,12,5,0.4166666666666667,0.6184917646170379,0.13888865319866225,0.5454545454545454,hunter
63,diffuse,22,6,0.45454545454545453,0.6586170575437171,0.1721591471066304,0.23809523809523808,hunter
71,clumpy,7,5,0.42857142857142855,0.6406175022772587,0.11928031367991561,0.0,hunter
72,clumpy,26,5,0.38461538461538464,0.6048070546859571,0.17962582037544736,0.44,busybody
74,diffuse,15,7,0.26666666666666666,0.7845560933918289,0.21757402850788382,0.35714285714285715,busybody
75,clumpy,9,3,0.6666666666666666,0.36857945459156666,0.2483531212171379,0.75,hunter
79,clumpy,25,7,0.32,0.733033612487734,0.1504512547979942,0.16666666666666666,busybody
80,diffuse,11,5,0.2727272727272727,0.6716792750696888,0.17569891645432748,0.2,busybody
82,clumpy,12,5,0.3333333333333333,0.6399339549118062,0.15071116913266747,0.09090909090909091,busybody
85,diffuse,7,3,0.7142857142857143,0.3458337512028148,0.0,0.6666666666666666,hunter
88,clumpy,11,5,0.5454545454545454,0.5622138221009685,0.10981182278395468,0.3,hunter
89,clumpy,11,5,0.36363636363636365,0.6582635997677037,0.28682725932003983,0.5,busybody
90,clumpy,5,5,0.2,0.6989700043360187,0.0,0.0,busybody
92,diffuse,8,4,0.625,0.4662337342819318,0.07244067042454963,0.5714285714285714,hunter
94,diffuse,9,5,0.4444444444444444,0.6197647364793458,0.11549291732153123,0.25,hunter
95,diffuse,6,6,0.16666666666666666,0.7781512503836436,0.0,0.0,busybody
96,diffuse,15,6,0.26666666666666666,0.7194310133149715,0.19248819553588542,0.21428571428571427,busybody
97,diffuse,15,6,0.4,0.6891318424478964,0.16945197962391245,0.21428571428571427,busybody
99,diffuse,6,4,0.3333333333333333,0.5774645866076561,0.20068666377598746,0.4,busybody
100,diffuse,7,5,0.42857142857142855,0.6406175022772586,0.0,0.3333333333333333,hunter
102,diffuse,13,5,0.38461538461538464,0.6135472001283825,0.14876604934692014,0.25,busybody
104,diffuse,19,7,0.3684210526315789,0.7081272816928879,0.17596721712082428,0.4444444444444444,busybody
105,clumpy,13,6,0.23076923076923078,0.7547966213605398,0.14231652959188854,0.3333333333333333,busybody
106,clumpy,12,5,0.25,0.6711686390638812,0.25105450102066124,0.2727272727272727,busybody
107,clumpy,7,3,0.42857142857142855,0.4361369645402605,0.0,0.0,hunter
108,clumpy,7,5,0.2857142857142857,0.673080899634839,0.06020599913279624,0.16666666666666666,busybody
109,diffuse,7,6,0.2857142857142857,0.7590894698245478,0.06020599913279624,0.0,busybody
110,clumpy,5,4,0.4,0.5785580060704263,0.10034333188799373,0.0,hunter
111,clumpy,19,6,0.47368421052631576,0.5810120174130508,0.13474439134086988,0.6111111111111112,hunter
113,diffuse,11,6,0.2727272727272727,0.7470705271452366,0.09624409776794271,0.0,busybody
114,diffuse,8,4,0.375,0.5736545186400797,0.14436614665191405,0.5714285714285714,busybody
118,clumpy,9,3,0.5555555555555556,0.43213473117976725,0.07244067042454963,0.5,hunter
119,clumpy,19,5,0.47368421052631576,0.6049324154660048,0.13392189005110958,0.3333333333333333,hunter
120,clumpy,9,4,0.4444444444444444,0.5276198728314542,0.19248819553588542,0.25,hunter
121,clumpy,12,6,0.25,0.7402772867997999,0.17576430688788644,0.09090909090909091,busybody
122,diffuse,25,5,0.4,0.5730757550544027,0.4261519861257735,0.375,busybody
123,diffuse,9,5,0.5555555555555556,0.5659258403637589,0.05433050281841222,0.5,hunter
124,diffuse,8,6,0.25,0.752574989159953,0.12041199826559248,0.0,busybody
126,diffuse,14,6,0.21428571428571427,0.7371669602042419,0.2552845160078302,0.23076923076923078,busybody
128,diffuse,5,4,0.4,0.5785580060704263,0.10034333188799373,0.0,hunter
129,clumpy,17,6,0.47058823529411764,0.6504369423929528,0.17394972014826468,0.375,hunter
130,clumpy,6,6,0.16666666666666666,0.7781512503836436,0.0,0.0,busybody
131,diffuse,8,7,0.25,0.8278324880759483,0.0,0.0,busybody
132,clumpy,6,3,0.6666666666666666,0.3767779228316687,0.2257724967479859,0.4,hunter
