participant_id,condition,style_k2,style_k3,topic_concentration,transition_entropy,time_to_first_resource,inter_resource_mean,pct_time_exploit,n_transitions,mean_reading_length_s,count_time,count_topic,count_typing,PC1,seq_typing_entropy
131,diffuse,busybody,busybody,0.25,0,0.1028,0.575958,0.201056,0.8,167.564,1,3,1.5,-1.71989,1
132,clumpy,hunter,hunter,0.666667,0.225772,7.375,0.100153,56.4614,3.4,113.796,3,2,2,-1.57755,0.721928
133,diffuse,busybody,busybody,0.333333,0.060206,0.2108,0.491189,0,0,130.629,1.5,3.5,1,-1.24004,0.860964
135,diffuse,busybody,busybody,0.4,0.130163,0.2024,0.449922,0,0,76.2151,4,5,4,2.02349,1
136,clumpy,hunter,hunter,0.708333,0.168656,10.3534,0.0747697,65.75,2.2,67.849,1.5,2.5,1.5,-1.93644,0.5097
137,diffuse,hunter,busybody,0.375,0.0552869,0.0146,0.461466,24.353,3.4,119.781,1,2,1.5,-2.57236,0.5
138,clumpy,busybody,busybody,0.3,0.129692,11.9138,0.0751599,68.1755,1.4,121.993,1,3.5,1.5,-1.29366,0.73065
139,clumpy,busybody,dancer,0.428571,0.30103,3.9868,0.14947,22.6717,1.6,106.817,2,2,2,-1.99692,0.721928
140,diffuse,hunter,hunter,0.444444,0.112886,0.126,0.459054,8.31191,0.8,78.3579,4,6,3,2.56382,0.863121
141,clumpy,busybody,dancer,0.222222,0.355628,10.866,0.142817,40.4794,2.4,66.0497,2.5,6.5,3,2.361,0.838181
142,clumpy,hunter,hunter,0.5,0.109812,10.1686,0.0873072,48.5723,3.8,128.883,2,4,2,-0.291986,0.954686
143,clumpy,busybody,dancer,0.263158,0.238438,11.8314,0.0735539,76.4814,1.6,60.0653,2.5,7,2,2.4751,0.931978
144,diffuse,hunter,hunter,0.5,0.0921449,0.2546,0.475422,7.09582,0.8,139.092,2,1,1,-3.16153,0.811278
146,clumpy,hunter,hunter,0.541667,0.112645,5.4794,0.0815764,69.6784,2.6,62.8722,1.5,5.5,1,0.464892,0.648736
147,diffuse,busybody,dancer,0.44,0.244253,0.1218,0.503245,23.987,1.2,50.8168,3.5,9,3,4.91154,0.720428
149,diffuse,busybody,busybody,0.3,0.129692,0.2288,0.470955,3.64207,0.8,134.247,2.5,4,3,0.229836,0.951762
150,clumpy,hunter,busybody,0.375,0.0552869,10.3144,0.160621,13.1598,3,141.042,0.5,2,1,-2.93811,0.905639
154,diffuse,hunter,hunter,0.625,0.0855861,0.211,0.570934,85.7714,0.8,75.1181,1,2.5,1,-2.30219,0.678896
155,clumpy,busybody,busybody,0.375,0.115493,15.6058,0.0909962,50.5683,2,69.5957,2,3,2,-1.14445,0.653884
156,diffuse,busybody,busybody,0.266667,0.147001,0.1302,0.4719,25.7369,2.4,80.8837,2.5,4.5,3,0.65607,0.882102
157,diffuse,busybody,busybody,0.166667,0,0.2236,0.486936,47.2853,2.4,138.831,1,3,2,-1.56382,0.811278
160,diffuse,hunter,hunter,0.583333,0.138652,0.3722,0.517116,19.4616,1.4,59.6529,5,6,4,3.29533,0.721928
161,clumpy,busybody,busybody,0.357143,0.146598,9.3916,0.0676205,71.1112,2.2,80.9494,3.5,4,2,0.337065,0.727397
162,diffuse,busybody,busybody,0.357143,0.122142,0.035,0.48144,12.3482,1.6,100.066,1.5,5.5,1.5,0.620961,0.640137
164,clumpy,busybody,dancer,0.333333,0.249915,16.2612,0.103133,33.4805,2.4,56.5954,4.5,8.5,1,4.2804,0.295836
165,clumpy,hunter,busybody,0.4,0,2.6506,0.0999899,80.969,1.4,188.553,2,2,0,-2.6212,0
166,diffuse,busybody,dancer,0.357143,0.166296,0.2164,0.449309,16.4485,1.4,86.0479,1.5,4.5,1.5,-0.231506,0.771782
168,clumpy,busybody,dancer,0.4,0.225871,6.7518,0.087432,60.9919,3,77.3278,1.5,3.5,1,-1.24004,0.703343
169,clumpy,hunter,hunter,0.45,0.124916,7.6746,0.0998635,66.2797,2.4,70.3299,4.5,4.5,3.5,1.65087,0.874798
170,clumpy,hunter,hunter,0.5,0.159377,10.4954,0.0641882,58.0493,3.2,70.5269,6,4,3.5,1.85369,0.787741
171,clumpy,busybody,busybody,0.375,0.144366,26.5428,0.0940907,41.1598,1.4,140.148,1,3,1.5,-1.71989,0.459148
172,clumpy,busybody,dancer,0.357143,0.364692,5.2446,0.107149,33.0393,2.8,,3,9,5,5.32613,0.808978
173,clumpy,busybody,dancer,0.411765,0.221288,8.751,0.06476,49.4031,3.2,,2,9.5,5.5,5.48907,0.738928
174,clumpy,busybody,dancer,0.363636,0.175699,6.8934,0.100726,58.0008,3,,2.5,3.5,2,-0.508536,0.985475
176,diffuse,busybody,dancer,0.363636,0.219624,0.061,0.447065,16.9331,2.4,,2,3,2,-1.14445,0.944623
177,clumpy,hunter,hunter,0.5,0.129588,9.9956,0.0604317,58.96,3,,2.5,1.5,2.5,-2.0574,0.864787
178,clumpy,busybody,dancer,0.375,0.194538,13.2078,0.0808703,56.0407,2.2,,1.5,2,1.5,-2.36267,0.485475
179,clumpy,hunter,hunter,0.8,0.244219,3.5206,0.102411,68.8759,3,,1,0,1,-4.43336,0.811278
181,clumpy,hunter,hunter,0.5,0.0814064,6.642,0.0719245,73.5145,3,,1,1.5,1.5,-2.99859,0.905639
183,diffuse,busybody,dancer,0.3,0.219624,0.108,0.488433,0,0,,1.5,3,2,-1.35414,0.846439
184,clumpy,busybody,dancer,0.25,0.166255,9.0964,0.0778985,49.0693,2.6,,3.5,5,2.5,1.3456,0.874716
185,clumpy,busybody,dancer,0.294118,0.211664,10.5902,0.077444,58.4837,2.2,,3,5,4,1.60413,0.881823
186,clumpy,hunter,busybody,0.428571,0.0691086,5.2806,0.142041,68.6134,4,,2.5,1,2,-2.6397,0.864787
189,clumpy,busybody,dancer,0.272727,0.210917,7.8418,0.264992,0,0,,1.5,3,1,-1.66628,0.864787
190,clumpy,busybody,dancer,0.3125,0.237225,6.8286,0.139452,59.656,2.8,,3.5,5,2.5,1.3456,0.810487
191,clumpy,busybody,dancer,0.4,0.225772,8.8792,0.29681,25.5402,1.8,,5,5,4,2.44286,0.811278
192,clumpy,busybody,dancer,0.272727,0.200687,27.0988,0.11531,35.8963,1.6,,2,4.5,3,0.446386,0.944623
193,clumpy,busybody,dancer,0.454545,0.225772,11.0638,0.0785751,55.0924,2.4,,1,2.5,2,-1.99005,0.992614
194,clumpy,busybody,dancer,0.324324,0.29149,10.6164,0.0785186,59.1114,2.8,,5,10,3.5,6.54913,0.567742
195,diffuse,busybody,dancer,0.263158,0.226926,0.1238,0.663522,54.1227,5.2,,3.5,5.5,3,1.9279,0.743066
196,clumpy,busybody,busybody,0.25,0.0501717,2.2304,0.0674688,67.7083,3.6,,1.5,2.5,1.5,-1.93644,0.820112
197,diffuse,busybody,dancer,0.375,0.194538,0.313,0.453639,1.70571,0.6,,2,4,1,-0.604125,0.918296
198,clumpy,busybody,busybody,0.2,0,6.1776,0.079147,70.02,3,,1,2,1,-2.72843,0.918296
199,clumpy,hunter,busybody,0.444444,0.060206,11.973,0.071406,55.9012,3,,1,2,2,-2.41629,0.918296
200,diffuse,hunter,hunter,0.428571,0.11928,0.054,0.514713,41.0399,2,,1,2,1,-2.72843,0.864787
201,diffuse,busybody,dancer,0.269231,0.250242,0.0292,0.480846,8.35617,1.2,,3.5,9,3.5,5.06761,0.622244
202,clumpy,hunter,hunter,0.619048,0.0947283,23.3698,0.112209,41.9325,2.4,,1.5,6,1.5,1.04719,0.61392
203,diffuse,busybody,busybody,0.352941,0.0941945,0.1234,0.46657,1.23746,0.4,,3.5,5.5,2.5,1.77184,0.678896
205,diffuse,busybody,busybody,0.333333,0.0752575,0.236,0.435922,2.55673,0.6,,1,1.5,1,-3.15466,0.918296
206,diffuse,hunter,hunter,0.5,0.229092,0.2338,0.445506,0.167899,0.4,,5,7,1,3.21138,0.439497
207,clumpy,busybody,busybody,0.3,0.15563,5.1284,0.102021,65.3033,2,,2,4,2,-0.291986,0.650022
208,diffuse,hunter,hunter,0.428571,0.150515,0.105,0.515974,13.2826,2.6,,0,1.5,1.5,-3.41796,0.864787
210,diffuse,busybody,dancer,0.3,0.213475,0.0884,0.414156,0,0,,1,2,1,-2.72843,0.721928
211,clumpy,busybody,busybody,0.222222,0.120412,4.6726,0.0916715,76.9611,2.8,,0,3.5,2.5,-1.40089,0.985475
212,diffuse,hunter,hunter,0.6,0.138217,0.158,0.47305,0,0,,1,1,1,-3.58089,0.811278
213,clumpy,busybody,dancer,0.307692,0.230664,17.6324,0.0673061,58.58,1.8,,5,8.5,1.5,4.64615,0.697111
