k,group,search_measure,task_measure,n,rho,p
3,busybody,n_transitions,count_typing,41,0.0093294,0.953835
3,busybody,n_transitions,PC1,41,-0.222261,0.162505
3,busybody,n_transitions,seq_typing_entropy,41,-0.000655595,0.996754
3,dancer,time_to_first_resource,mean_reading_length_s,29,-0.108867,0.574011
3,dancer,time_to_first_resource,count_time,49,0.0489582,0.738333
3,dancer,time_to_first_resource,count_topic,49,0.240336,0.0962326
3,dancer,time_to_first_resource,count_typing,49,-0.0498244,0.733873
3,dancer,time_to_first_resource,PC1,49,0.197872,0.172924
3,dancer,time_to_first_resource,seq_typing_entropy,49,0.00239845,0.986951
3,dancer,inter_resource_mean,mean_reading_length_s,29,0.33202,0.0784693
3,dancer,inter_resource_mean,count_time,49,0.030837,0.833405
3,dancer,inter_resource_mean,count_topic,49,-0.282227,0.0494456
3,dancer,inter_resource_mean,count_typing,49,0.0244978,0.867305
3,dancer,inter_resource_mean,PC1,49,-0.227262,0.116323
3,dancer,inter_resource_mean,seq_typing_entropy,49,0.0534293,0.715402
3,dancer,pct_time_exploit,mean_reading_length_s,29,-0.417241,0.0243283
3,dancer,pct_time_exploit,count_time,49,0.188262,0.195171
3,dancer,pct_time_exploit,count_topic,49,0.346381,0.0147659
3,dancer,pct_time_exploit,count_typing,49,0.00054396,0.99704
3,dancer,pct_time_exploit,PC1,49,0.304693,0.0332796
3,dancer,pct_time_exploit,seq_typing_entropy,49,-0.215405,0.137168
3,dancer,n_transitions,mean_reading_length_s,29,-0.344939,0.0668693
3,dancer,n_transitions,count_time,49,0.24218,0.0936293
3,dancer,n_transitions,count_topic,49,0.330553,0.0203536
3,dancer,n_transitions,count_typing,49,0.156624,0.282502
3,dancer,n_transitions,PC1,49,0.312976,0.0285527
3,dancer,n_transitions,seq_typing_entropy,49,-0.22469,0.120627
