participant_id,condition,explore_dur_mean_mean,explore_dur_mean_sd,explore_dur_median_mean,explore_dur_median_sd,exploit_dur_mean_mean,exploit_dur_mean_sd,exploit_dur_median_mean,exploit_dur_median_sd,pct_time_exploit_mean,pct_time_exploit_sd,n_transitions_mean,n_transitions_sd,total_collected_mean,total_collected_sd,time_to_first_resource_mean,time_to_first_resource_sd,inter_resource_mean_mean,inter_resource_mean_sd,collection_rate_mean,collection_rate_sd,path_length_mean,path_length_sd,coverage_entropy_mean,coverage_entropy_sd,heading_variability_mean,heading_variability_sd,patch_leaving_distance_mean,patch_leaving_distance_sd,levy_alpha_mean,levy_alpha_sd
82,Clumpy,8.29937,2.27383,7.2961,2.63486,23.1777,11.1114,24.2686,10.0951,68.7463,12.1142,3.2,0.83666,656.2,92.2887,8.33,8.49527,0.0719946,0.0190263,11.0671,1.64322,3691.54,53.9326,5.63887,0.327923,19.0006,0.931498,20.9965,15.6744,1.62917,0.0126669
85,Diffuse,59.8708,0.0192276,59.8708,0.0192276,,,,,0,0,0,0,134,9.38083,0.2142,0.232059,0.448068,0.0292368,2.23307,0.15632,4153.48,968.746,6.80299,0.0949795,10.6185,1.51647,,,1.34399,0.0101749
88,Clumpy,11.676,9.52231,11.676,9.52231,33.8696,21.7068,33.8696,21.7068,64.0063,34.7668,1.8,0.83666,379.6,52.4433,6.3348,6.50561,0.132325,0.0315804,6.36445,0.887313,3772.02,137.389,5.33067,0.625991,17.4081,3.08293,14.3592,11.9675,1.623,0.00748532
89,Clumpy,11.8325,5.21635,11.8325,5.21635,27.5116,17.9194,27.5116,17.9194,60.4728,17.4166,2.6,0.547723,474,145.59,14.0174,6.22647,0.0949465,0.0289756,7.9011,2.42441,4437.28,629.842,5.61778,0.616198,21.8541,1.46241,42.6986,24.342,1.63199,0.00668574
90,Clumpy,22.623,22.985,22.623,22.985,17.2283,12.3532,16.6807,12.525,43.2184,41.2356,2.4,1.51658,357.8,227.736,8.2866,7.13792,0.147207,0.0768894,6.12313,3.86545,3828.64,222.923,5.96048,0.613434,17.2838,4.12757,61.6721,56.0013,1.62718,0.00936895
92,Diffuse,28.773,18.5716,28.4585,18.9443,5.626,3.09726,5.5205,3.31818,19.8575,19.1976,2.8,1.92354,119,7.87401,0.4916,0.495796,0.498589,0.0345143,1.98762,0.133942,5078.99,1522.9,6.2579,0.430343,16.7812,1.41442,11.6163,9.67052,1.33558,0.00801383
94,Diffuse,17.8385,8.10345,15.7392,10.3418,11.4813,13.5619,11.2968,13.6613,29.2735,21.0493,3.8,2.28035,108.6,7.4364,0.279,0.24694,0.54644,0.0404161,1.80994,0.123923,3439.05,3.32276,5.94401,0.0653485,16.3489,0.86851,13.0316,4.36934,1.34036,0.00645929
95,Diffuse,59.6216,0.515023,59.6216,0.515023,1.114,,1.114,,0.372476,0.832881,0.2,0.447214,122.8,11.8828,0.1222,0.194632,0.491529,0.0458826,2.04657,0.197888,3447.76,3.96237,6.69094,0.232471,11.9216,3.24963,,,1.34214,0.0049273
96,Diffuse,50.2654,21.4128,49.9298,22.1633,7.7,,6.883,,7.83277,17.5146,1,2.23607,124.4,8.38451,0.1358,0.159738,0.481769,0.034362,2.07948,0.134418,3557.2,272.511,6.62837,0.266809,11.0391,2.4117,3.16228,,1.33794,0.00257952
97,Diffuse,44.4457,21.5019,41.5479,26.7543,5.93725,1.53902,5.93725,1.53902,6.31895,10.2205,1.2,1.78885,129.2,12.1532,0.1254,0.190399,0.468244,0.0460454,2.15307,0.202446,3444.4,8.49173,6.68838,0.214563,11.7835,3.48481,16.5406,19.0345,1.34511,0.00280636
100,Diffuse,49.9165,22.2143,49.7724,22.5364,14.6855,,14.6855,,9.8057,21.9262,0.8,1.78885,125,7.10634,0.1048,0.194218,0.480047,0.0244709,2.08413,0.118766,3426.59,4.81793,6.68263,0.26453,19.463,2.34321,7.42443,,1.3454,0.00890835
102,Diffuse,53.2481,14.6545,53.2481,14.6545,5.816,,5.816,,1.94245,4.34346,0.4,0.894427,133.6,12.6807,0.2612,0.190118,0.447715,0.038749,2.22823,0.211608,3446.92,2.64294,6.62085,0.19993,9.01147,2.61542,11.6619,,1.34688,0.00970676
103,Diffuse,50.7467,20.4228,51.0026,19.8505,8.62,,8.62,,5.75818,12.8757,0.8,1.78885,114,15.2971,0.1998,0.230769,0.531047,0.0654757,1.89991,0.254885,3915.68,771.255,6.48255,0.333297,14.8281,3.18038,6.76783,,1.33396,0.00989191
104,Diffuse,47.9913,21.7088,47.633,22.5052,4.80958,1.39401,4.61383,1.27119,10.402,15.4994,1.8,2.94958,123.4,11.6103,0.0272,0.0186467,0.487589,0.0472028,2.05644,0.193391,3553.07,259.311,6.61582,0.194025,15.0957,1.21033,8.51382,1.27003,1.34151,0.00955419
