participant_id,count_time,count_topic,count_typing,z_time,z_topic,z_typing,z_time_typing_mean,lda_residual,abs_residual,n_pages_avg
40,0.5,0.0,1.5,-1.5099120726376891,-1.7580831979484262,-0.39549790881429364,-0.9527049907259914,-0.8053782072224348,0.8053782072224348,5.5
95,0.5,3.5,1.5,-1.5099120726376891,-0.15632440806500175,-0.39549790881429364,-0.9527049907259914,0.7963805826609895,0.7963805826609895,5.0
56,4.0,8.0,3.0,1.2700562485988898,1.9030797503565438,0.9662732999440131,1.1181647742714516,0.7849149760850922,0.7849149760850922,9.5
109,0.0,2.0,0.5,-1.9070504042429148,-0.8427924608721836,-1.3033453813198315,-1.6051978927813733,0.7624054319091896,0.7624054319091896,3.5
144,2.0,1.0,1.0,-0.31849707782201253,-1.300437829410305,-0.8494216450670626,-0.5839593614445375,-0.7164784679657674,0.7164784679657674,4.0
139,2.0,2.0,2.0,-0.31849707782201253,-0.8427924608721836,0.05842582743847526,-0.13003562519176864,-0.712756835680415,0.712756835680415,5.0
43,2.0,3.0,3.0,-0.31849707782201253,-0.38514709233406236,0.9662732999440131,0.3238881110610003,-0.7090352033950627,0.7090352033950627,6.0
156,2.5,3.5,3.0,0.07864125378321306,-0.15632440806500175,0.9662732999440131,0.5224572768636131,-0.6787816849286148,0.6787816849286148,7.5
90,3.0,1.0,0.0,0.4757795853884386,-1.300437829410305,-1.7572691175726005,-0.640744766092081,-0.659693063318224,0.659693063318224,4.0
88,3.0,5.0,4.0,0.4757795853884386,0.5301436447421801,1.874120772449551,1.174950178918995,-0.6448065341768148,0.6448065341768148,9.0
136,1.5,4.0,1.5,-0.715635409427238,0.07249827620405888,-0.39549790881429364,-0.5555666591207659,0.6280649353248248,0.6280649353248248,12.0
137,1.0,1.0,1.5,-1.1127737410324636,-1.300437829410305,-0.39549790881429364,-0.7541358249233786,-0.5463020044869263,0.5463020044869263,4.0
147,3.5,7.0,3.0,0.8729179169936642,1.4454343818184225,0.9662732999440131,0.9195956084688386,0.525838773349584,0.525838773349584,13.0
145,3.5,5.5,1.5,0.8729179169936642,0.7589663290112407,-0.39549790881429364,0.23871000408968526,0.5202563249215555,0.5202563249215555,7.0
100,1.5,1.0,1.0,-0.715635409427238,-1.300437829410305,-0.8494216450670626,-0.7825285272471503,-0.5179093021631547,0.5179093021631547,3.5
94,2.5,2.5,1.5,0.07864125378321306,-0.613969776603123,-0.39549790881429364,-0.15842832751554028,-0.45554144908758276,0.45554144908758276,4.5
44,2.5,2.5,1.5,0.07864125378321306,-0.613969776603123,-0.39549790881429364,-0.15842832751554028,-0.45554144908758276,0.45554144908758276,6.5
54,2.5,3.5,2.5,0.07864125378321306,-0.15632440806500175,0.5123495636912442,0.2954954087372286,-0.4518198168022304,0.4518198168022304,6.0
149,2.5,4.0,3.0,0.07864125378321306,0.07249827620405888,0.9662732999440131,0.5224572768636131,-0.4499590006595542,0.4499590006595542,5.0
62,2.0,3.5,1.0,-0.31849707782201253,-0.15632440806500175,-0.8494216450670626,-0.5839593614445375,0.4276349533795358,0.4276349533795358,6.5
5,3.0,3.5,2.0,0.4757795853884386,-0.15632440806500175,0.05842582743847526,0.26710270641345696,-0.4234271144784587,0.4234271144784587,5.5
126,3.0,4.0,2.5,0.4757795853884386,0.07249827620405888,0.5123495636912442,0.49406457453984143,-0.4215662983357825,0.4215662983357825,7.0
121,1.5,5.0,3.0,-0.715635409427238,0.5301436447421801,0.9662732999440131,0.12531894525838755,0.40482469948379257,0.40482469948379257,6.5
48,3.5,2.5,0.5,0.8729179169936642,-0.613969776603123,-1.3033453813198315,-0.21521373216308365,-0.39875604444003937,0.39875604444003937,5.0
168,1.5,3.0,1.0,-0.715635409427238,-0.38514709233406236,-0.8494216450670626,-0.7825285272471503,0.3973814349130879,0.3973814349130879,7.5
161,3.5,4.0,2.0,0.8729179169936642,0.07249827620405888,0.05842582743847526,0.4656718722160697,-0.39317359601201085,0.39317359601201085,7.0
60,5.0,9.0,4.0,2.0643329118093408,2.360725118894665,1.874120772449551,1.9692268421294459,0.3914982767652193,0.3914982767652193,11.0
97,3.5,5.5,3.5,0.8729179169936642,0.7589663290112407,1.420197036196782,1.1465574765952231,-0.3875911475839824,0.3875911475839824,7.5
61,1.0,3.5,2.0,-1.1127737410324636,-0.15632440806500175,0.05842582743847526,-0.5271739567969942,0.37084954873199244,0.37084954873199244,5.5
171,1.0,3.0,1.5,-1.1127737410324636,-0.38514709233406236,-0.39549790881429364,-0.7541358249233786,0.36898873258931625,0.36898873258931625,4.5
154,1.0,2.5,1.0,-1.1127737410324636,-0.613969776603123,-0.8494216450670626,-0.9810976930497631,0.3671279164466401,0.3671279164466401,8.5
96,4.0,5.5,3.0,1.2700562485988898,0.7589663290112407,0.9662732999440131,1.1181647742714516,-0.35919844526021083,0.35919844526021083,7.5
150,0.5,2.0,1.0,-1.5099120726376891,-0.8427924608721836,-0.8494216450670626,-1.179666858852376,0.33687439798019236,0.33687439798019236,4.0
103,1.0,1.0,1.0,-1.1127737410324636,-1.300437829410305,-0.8494216450670626,-0.9810976930497631,-0.3193401363605418,0.3193401363605418,3.0
92,1.0,1.0,1.0,-1.1127737410324636,-1.300437829410305,-0.8494216450670626,-0.9810976930497631,-0.3193401363605418,0.3193401363605418,6.0
157,1.0,2.0,2.0,-1.1127737410324636,-0.8427924608721836,0.05842582743847526,-0.5271739567969942,-0.31561850407518943,0.31561850407518943,4.0
25,0.0,1.0,0.5,-1.9070504042429148,-1.300437829410305,-1.3033453813198315,-1.6051978927813733,0.3047600633710683,0.3047600633710683,3.5
118,1.5,1.5,1.0,-0.715635409427238,-1.0716151451412443,-0.8494216450670626,-0.7825285272471503,-0.28908661789409407,0.28908661789409407,4.5
80,1.5,3.5,3.0,-0.715635409427238,-0.15632440806500175,0.9662732999440131,0.12531894525838755,-0.2816433533233893,0.2816433533233893,5.5
114,3.0,5.0,2.0,0.4757795853884386,0.5301436447421801,0.05842582743847526,0.26710270641345696,0.26304093832872316,0.26304093832872316,8.0
85,2.0,2.0,1.0,-0.31849707782201253,-0.8427924608721836,-0.8494216450670626,-0.5839593614445375,-0.2588330994276461,0.2588330994276461,5.0
155,2.0,3.0,2.0,-0.31849707782201253,-0.38514709233406236,0.05842582743847526,-0.13003562519176864,-0.2551114671422937,0.2551114671422937,8.5
106,2.5,4.0,2.5,0.07864125378321306,0.07249827620405888,0.5123495636912442,0.2954954087372286,-0.22299713253316975,0.22299713253316975,6.0
141,2.5,4.5,3.0,0.07864125378321306,0.3013209604731195,0.9662732999440131,0.5224572768636131,-0.22113631639049358,0.22113631639049358,9.0
142,2.0,4.0,2.0,-0.31849707782201253,0.07249827620405888,0.05842582743847526,-0.13003562519176864,0.20253390139582753,0.20253390139582753,6.0
71,2.0,4.0,2.0,-0.31849707782201253,0.07249827620405888,0.05842582743847526,-0.13003562519176864,0.20253390139582753,0.20253390139582753,5.0
165,2.0,2.0,0.0,-0.31849707782201253,-0.8427924608721836,-1.7572691175726005,-1.0378830976973066,0.19509063682512295,0.19509063682512295,3.0
130,2.0,2.0,0.0,-0.31849707782201253,-0.8427924608721836,-1.7572691175726005,-1.0378830976973066,0.19509063682512295,0.19509063682512295,3.0
