spatial,wiki,n,r_pearson,p_pearson,rho_spearman,p_spearman,r_partial,p_partial,p_fdr,fdr_significant
exploit_dur_mean_mean,seq_typing_entropy,120,-0.20648192517951638,0.02365652502004891,-0.12667448875840154,0.16799166619964684,-0.15887934444022378,0.08437347506202242,0.730097857471973,False
exploit_dur_mean_sd,count_time,111,0.09999126882404755,0.29640788210239777,0.12828011345854934,0.17967173122017102,0.10800548120096574,0.2613866053728815,0.7474461495107344,False
exploit_dur_mean_sd,count_topic,111,0.15203671544423197,0.11117168101946069,0.19630463201829895,0.038930352930727025,0.1463403004852726,0.12712891119363712,0.730097857471973,False
exploit_dur_mean_sd,count_typing,111,0.015175311101530586,0.8743929353672533,0.03520264688080213,0.7137695388340916,0.017350473791994347,0.8572247431569799,0.970726361410365,False
exploit_dur_mean_sd,PC1,111,0.1392623760221649,0.14491645025918676,0.18156169683146503,0.05650764901274346,0.13699388193935558,0.15354283982693495,0.730097857471973,False
exploit_dur_mean_sd,seq_typing_mean_run_explore,109,0.1145795715609696,0.23547769841647992,0.09005187077060073,0.3517377970223496,0.11224027914394577,0.2474681121096498,0.7423353487559324,False
exploit_dur_mean_sd,seq_typing_entropy,111,-0.15692255590252777,0.10001655830055907,-0.19803419646831766,0.03720722309568426,-0.11585239878580478,0.22810565380070869,0.730097857471973,False
exploit_dur_median_mean,count_time,120,0.018157094646446076,0.8439563923579099,0.023525967449848008,0.7986830245289255,0.04375290233393618,0.636586885419816,0.9556464431004119,False
exploit_dur_median_mean,count_topic,120,0.025649289316348967,0.7809519409738427,0.04706790882556446,0.6097086389872008,0.03074321802823935,0.7399591339694824,0.9556464431004119,False
exploit_dur_median_mean,count_typing,120,-0.03516842830477058,0.7029536164328594,0.038042835795610595,0.6799540693650001,-0.04939853904685549,0.5936789703551697,0.9556464431004119,False
exploit_dur_median_mean,PC1,120,0.018387282657230712,0.8420037073192804,0.0510102028347387,0.5800577395142004,0.025848381580848873,0.7802119238667249,0.9556464431004119,False
exploit_dur_median_mean,seq_typing_mean_run_explore,118,0.14504902745557047,0.11707665565574749,0.10522290275413558,0.25679584339200706,0.15959095514335647,0.08566169960598269,0.730097857471973,False
exploit_dur_median_mean,seq_typing_entropy,120,-0.20734909599893175,0.023063791860609074,-0.12229083172173645,0.18331826964836456,-0.16001645044867774,0.08214594159859478,0.730097857471973,False
exploit_dur_median_sd,count_time,111,0.1128047655484709,0.23848373306858284,0.13762590112664974,0.1497460770243583,0.12185748694479741,0.20473215638457543,0.7423353487559324,False
exploit_dur_median_sd,count_topic,111,0.14999442639452176,0.11611212363458359,0.19044978572887378,0.045267082531115735,0.1442321590259583,0.13275878201533975,0.730097857471973,False
exploit_dur_median_sd,count_typing,111,0.017700916057936392,0.8537043161648553,0.03391436462823131,0.7238133796410001,0.02008968096095474,0.8349819196537749,0.9604173556854623,False
exploit_dur_median_sd,PC1,111,0.14090499106035204,0.14018798600619378,0.17833668300389244,0.06111454907348622,0.1388484775859058,0.14799865120730926,0.730097857471973,False
exploit_dur_median_sd,seq_typing_mean_run_explore,109,0.12479019662135905,0.19604985836179964,0.10079144861748884,0.2970315694103093,0.12314243705849548,0.2041982651613652,0.730097857471973,False
exploit_dur_median_sd,seq_typing_entropy,111,-0.16400266065518831,0.08543571579845961,-0.21801712451779018,0.021523354790847105,-0.12255535157776307,0.2021315699969337,0.730097857471973,False
pct_time_exploit_mean,count_time,132,0.030922351575752592,0.7248563281430528,0.04159239707945573,0.6358420743724718,0.03891408966380407,0.6590026079153697,0.9556464431004119,False
pct_time_exploit_mean,count_topic,132,0.02737458310777039,0.7553619807954878,0.024402092333661033,0.7812169373267356,-0.020020686138853147,0.8204441187149136,0.9556464431004119,False
pct_time_exploit_mean,count_typing,132,0.024331236238789793,0.78183630154354,0.02928193930548889,0.7389111915955372,0.009923538959039975,0.9104314954988992,0.9556464431004119,False
pct_time_exploit_mean,PC1,132,0.03095002901262861,0.7246199601350106,0.03641237428951207,0.6785044086509631,-0.004922618536093899,0.9554993105052012,0.9556464431004119,False
pct_time_exploit_mean,seq_typing_mean_run_explore,130,0.15351013508799424,0.08120595124504638,0.12793630652898139,0.14689740917553962,0.1533893242964824,0.08265289533835407,0.730097857471973,False
pct_time_exploit_mean,seq_typing_entropy,132,-0.1503816044433401,0.08522871237661543,-0.13465688008285082,0.12370789068001797,-0.053567782296177896,0.543405243986169,0.730097857471973,False
pct_time_exploit_sd,count_time,132,0.08877214451283215,0.31143589562947266,0.08673279869035105,0.3227261771727476,0.09041641608135,0.3043967773664926,0.7474461495107344,False
pct_time_exploit_sd,count_topic,132,0.13068939756923256,0.13526985785547369,0.15560523063109535,0.07480912318939355,0.12067588527853816,0.1697572637594773,0.730097857471973,False
pct_time_exploit_sd,count_typing,132,0.0965093591937464,0.2709689537968593,0.11319705518044948,0.19624514508589305,0.09369484384946015,0.287123898500492,0.7423353487559324,False
pct_time_exploit_sd,PC1,132,0.1318120292395357,0.13191765435278366,0.1496428261425622,0.08679172316640515,0.1242454838643725,0.15738825822041025,0.730097857471973,False
pct_time_exploit_sd,seq_typing_mean_run_explore,130,0.05235267330352668,0.5541498834437225,-0.004412635088360785,0.9602609680568143,0.03316971847529011,0.7090208921902357,0.8693980755381744,False
pct_time_exploit_sd,seq_typing_entropy,132,-0.12922694030217338,0.13973387251608269,-0.11633486636741808,0.18404978583076986,-0.09064227418638413,0.3031853902612551,0.730097857471973,False
n_transitions_mean,count_time,132,0.02670976355393567,0.7611222952417237,0.019234564338345726,0.8267227258280194,0.02627516419593523,0.7657778279034135,0.9556464431004119,False
n_transitions_mean,count_topic,132,-0.01924572266774844,0.826623782923808,-0.052794411908122195,0.5476988042368238,-0.04895011141490495,0.5787421147569631,0.9556464431004119,False
n_transitions_mean,count_typing,132,0.11487643751025044,0.18964725689222414,0.08266787780116025,0.3460072058803412,0.11698847493965571,0.18327602699565126,0.730097857471973,False
n_transitions_mean,PC1,132,0.007920806642558984,0.928176758639487,-0.02324272274177601,0.7913681359830134,-0.014161176753391722,0.872458311494285,0.9794621113558081,False
n_transitions_mean,seq_typing_mean_run_explore,130,0.013298050329535552,0.8806357404808203,-0.005291375209478953,0.9523557947547873,-0.02223023718963746,0.8025407126947421,0.970726361410365,False
