participant_id,condition,trial,map_id,explore_dur_mean,explore_dur_median,exploit_dur_mean,exploit_dur_median,pct_time_exploit,n_transitions,total_collected,time_to_first_resource,inter_resource_mean,collection_rate,path_length,coverage_entropy,heading_variability,patch_leaving_distance,levy_alpha
199,Clumpy,3,Clumpy_3,20.0165,20.0165,19.816,19.816,33.11,2,362,12.179,0.0531357,6.03323,4004.75,6.37539,17.9995,24.2074,1.64963
199,Clumpy,4,Clumpy_5,7.76167,7.9,17.966,17.966,60.6785,4,622,11.467,0.0680081,10.4919,3755.19,6.0509,19.6044,53.3898,1.63521
199,Clumpy,5,Clumpy_3,9.9915,9.9915,39.4,39.4,66.349,2,597,11.05,0.0651292,10.0363,3758.6,5.84388,20.0055,34.0147,1.61562
200,Diffuse,1,Diffuse_3,23.9425,23.9425,11.952,11.952,19.9743,2,118,0.126,0.505863,1.96663,3432.37,6.16218,16.1758,7.2111,1.35837
200,Diffuse,2,Diffuse_4,23.768,23.768,6.15,6.15,20.5562,3,122,0.014,0.488868,2.0333,5792.56,6.5003,20.4401,9.48683,1.36174
200,Diffuse,3,Diffuse_3,7.184,7.184,26.318,26.318,87.9906,2,104,0.117,0.578515,1.73333,3436.22,6.00673,21.8056,11.4018,1.3476
200,Diffuse,4,Diffuse_4,6.9755,6.9755,22.9345,22.9345,76.6784,3,106,0.009,0.567333,1.76667,5794.75,5.97332,21.7815,6.32456,1.34368
200,Diffuse,5,Diffuse_2,59.87,59.87,,,0,0,139,0.004,0.432986,2.31644,3443.53,6.52088,12.6154,,1.35253
201,Diffuse,1,Diffuse_3,55.163,55.163,4.72,4.72,7.88204,1,119,0.122,0.506051,1.9833,3435.47,6.55486,18.9403,2,1.34953
201,Diffuse,2,Diffuse_2,23.6115,23.6115,12.593,12.593,21.0529,2,120,0.011,0.499857,1.9997,3428.4,6.11589,16.0946,16.7631,1.34174
201,Diffuse,3,Diffuse_4,59.816,59.816,,,0,0,148,0.002,0.407932,2.46663,3446.93,6.79744,9.28231,,1.34532
201,Diffuse,4,Diffuse_4,27.9305,27.9305,3.97,3.97,6.63536,2,154,0.004,0.391059,2.56645,3446.29,6.72353,11.996,7.07107,1.36157
201,Diffuse,5,Diffuse_2,56.163,56.163,3.719,3.719,6.21055,1,101,0.007,0.59933,1.68319,3443.19,6.07317,13.9363,13.4164,1.33108
202,Clumpy,1,Clumpy_1,22.317,22.317,37.597,37.597,62.7516,1,351,4.507,0.153414,5.8499,3826.21,5.1912,15.3093,,1.62155
202,Clumpy,2,Clumpy_5,45.5,45.5,14.35,14.35,23.9766,1,260,23.146,0.134432,4.33326,4559.2,6.21005,14.2709,,1.61441
202,Clumpy,3,Clumpy_4,3.20875,1.7425,11.7662,0.9915,78.5726,7,296,0.446,0.151525,4.9321,3776.47,4.90769,16.2891,8.50543,1.61404
202,Clumpy,4,Clumpy_2,38.018,38.018,21.832,21.832,36.4779,1,239,37.282,0.0869076,3.98333,6347.05,6.40258,14.9802,,1.61212
202,Clumpy,5,Clumpy_2,27.5505,27.5505,4.716,4.716,7.88405,2,95,51.468,0.034766,1.58333,9493.57,6.88425,12.5143,83.4086,1.61846
