condition,spatial,wiki,n,r_pearson,p_pearson,rho_spearman,p_spearman,p_fdr,fdr_significant
Clumpy,collection_rate_sd,seq_typing_entropy,72,0.019098086573200338,0.873486906823435,-0.000916774616731641,0.993901872141183,0.9784752143430504,False
Clumpy,path_length_mean,count_time,72,-0.11180939613483167,0.3497541384467736,-0.14506574018514762,0.22405191287918275,0.9068835643557314,False
Clumpy,path_length_mean,count_topic,72,-0.0622367434964683,0.6035112879525046,-0.02638091884876427,0.8258944563404483,0.9404818982673262,False
Clumpy,path_length_mean,count_typing,72,-0.03564071119638916,0.7662961983539114,-0.028864047556377104,0.8098006299556435,0.9643538331354592,False
Clumpy,path_length_mean,PC1,72,-0.07716637143874926,0.5193935407743719,-0.047756106343340314,0.6903652721017239,0.9068835643557314,False
Clumpy,path_length_mean,seq_typing_mean_run_explore,70,-0.10951291443761087,0.3668064684681769,-0.15994212262455185,0.18596519697472205,0.9068835643557314,False
Clumpy,path_length_mean,seq_typing_entropy,72,0.004741232934888954,0.9684703795751578,-0.008122301428938222,0.9460125813694789,0.9809282801167984,False
Clumpy,path_length_sd,count_time,72,-0.17006250804399933,0.15323431260826312,-0.24692627277156723,0.03652197805044715,0.9068835643557314,False
Clumpy,path_length_sd,count_topic,72,-0.07806460668381071,0.5145282849801562,-0.11433345012987375,0.33891405255669144,0.9068835643557314,False
Clumpy,path_length_sd,count_typing,72,-0.0579994120437722,0.6284313951942213,-0.10864924930518366,0.3636258362077827,0.9404818982673262,False
Clumpy,path_length_sd,PC1,72,-0.10528788266631002,0.3787447233190119,-0.14360598846881223,0.2287981635549729,0.9068835643557314,False
Clumpy,path_length_sd,seq_typing_mean_run_explore,70,-0.11932353808085956,0.3251757576396943,-0.21415028256701757,0.07504922857645586,0.9068835643557314,False
Clumpy,path_length_sd,seq_typing_entropy,72,0.035471274943101566,0.7673758035438933,0.046964594400989323,0.6952432237313507,0.9643538331354592,False
Clumpy,coverage_entropy_mean,count_time,72,-0.005129406835831766,0.9658904695290935,0.0019778744191537782,0.9868441915474218,0.9809282801167984,False
Clumpy,coverage_entropy_mean,count_topic,72,0.1345020378068463,0.25997894005110933,0.1048944057711416,0.380538928134518,0.9068835643557314,False
Clumpy,coverage_entropy_mean,count_typing,72,0.17262561189399867,0.1470440465806857,0.1823474750386998,0.1252574191271666,0.9068835643557314,False
Clumpy,coverage_entropy_mean,PC1,72,0.126778511406135,0.288593003222447,0.1111093248594214,0.3527984583514979,0.9068835643557314,False
Clumpy,coverage_entropy_mean,seq_typing_mean_run_explore,70,-0.007420606925940515,0.951384547702433,-0.018303143266472886,0.8804566611622037,0.9809282801167984,False
Clumpy,coverage_entropy_mean,seq_typing_entropy,72,0.08752970279082536,0.46470553980013296,0.01248100179971497,0.917125426452887,0.9068835643557314,False
Clumpy,coverage_entropy_sd,count_time,72,0.033366938672803624,0.7808203111314871,0.0018806019067363795,0.9874911453137699,0.9643538331354592,False
Clumpy,coverage_entropy_sd,count_topic,72,0.12182059951915575,0.3080160203444579,0.12219125286953628,0.3065353614712387,0.9068835643557314,False
Clumpy,coverage_entropy_sd,count_typing,72,-0.05890046811926796,0.6230961274541986,-0.05378465097381607,0.6536367967602082,0.9404818982673262,False
Clumpy,coverage_entropy_sd,PC1,72,0.09140934500869838,0.4450698347155889,0.08740814615568954,0.46532828496835577,0.9068835643557314,False
Clumpy,coverage_entropy_sd,seq_typing_mean_run_explore,70,0.06163650054565492,0.612235495583441,-0.02238804018322402,0.8540431671684305,0.9404818982673262,False
Clumpy,coverage_entropy_sd,seq_typing_entropy,72,-0.1024281970390061,0.3919004491434207,-0.03850453390272891,0.748117325095848,0.9068835643557314,False
