participant_id,n_pages,n_unique_pages,n_searches,revisit_rate,search_vs_link_ratio,mean_dwell,var_dwell,mean_step_distance,var_step_distance,forward_flow,n_unique,n_edges,clustering,char_path_length,global_efficiency,lcc_fraction,path_breadth,bh_score
314909961,8,3,5,0.625,0.625,109168.875,34406731369.359375,0.041320032246296025,0.001520807378826513,0.04949719791634314,3,1,0.0,1.0,0.3333333333333333,0.6666666666666666,10,-1.6051889926515677
314923095,11,10,20,0.09090909090909091,1.8181818181818181,74785.81818181818,9295842536.694216,0.07331291700015659,0.00042622033352335026,0.07434115908679012,10,0,0.0,0.0,0.0,0.1,30,-1.3406828719802135
315180737,4,4,8,0.0,2.0,305979.25,127258041464.6875,0.02419034685807331,0.00015999839339795346,0.024049918665125597,4,3,0.0,1.5,0.75,1.0,12,-0.6281783906229677
316440726,5,5,3,0.0,0.6,192178.8,67571900866.159996,0.03521483768397071,0.0007797701555645104,0.05345074065785,4,5,0.8333333333333333,1.1666666666666667,0.9166666666666666,1.0,9,3.681574067633168
316576016,4,4,9,0.0,2.25,180439.5,84113429.25,0.015422534063611973,1.364158139803225e-05,0.013983514259295152,4,6,1.0,1.0,1.0,1.0,27,4.985641902227836
318471075,7,6,7,0.14285714285714285,1.0,118464.14285714286,7229702711.265306,0.020941431818194245,0.00011414842760640958,0.02350316404501727,6,8,0.7222222222222222,1.2,0.6,0.8333333333333334,33,2.9727525797831293
318548625,9,8,5,0.1111111111111111,0.5555555555555556,87770.55555555556,4223847262.024691,0.03934231625135544,0.0006191110252735817,0.038822261190763485,8,9,0.39166666666666666,1.7142857142857142,0.5178571428571428,0.875,35,1.0474142965102844
318738127,5,5,5,0.0,1.0,164169.6,7354766747.44,0.034445765239126985,0.00014106796460729612,0.03397832306635806,5,3,0.0,1.5,0.45,0.8,31,-1.5460851946661895
318801792,2,2,2,0.0,1.0,370550.5,128309031006.25,0.006693875003372041,0.0,0.006693875003372041,2,1,0.0,1.0,1.0,1.0,9,0.4346039052222589
319022687,8,7,9,0.125,1.125,95130.625,7041352466.234375,0.052509759973160174,0.0006661438749578607,0.0476102887047634,7,4,0.0,1.8,0.3174603174603175,0.7142857142857143,22,-2.1762436016029376
319119632,2,2,2,0.0,1.0,369670.0,14859366201.0,0.033465241474201046,0.0,0.033465241474201046,2,0,0.0,0.0,0.0,0.5,8,-1.3406828719802135
321771859,8,6,4,0.25,0.5,101046.125,21797391773.359375,0.06566270418270123,0.0019161285927456592,0.06259020968554038,6,5,0.27777777777777773,1.6,0.48888888888888893,0.8333333333333334,19,-0.1740291928203591
322376617,7,3,7,0.5714285714285714,1.0,105889.28571428571,11856174607.918367,0.008800847476333829,0.0001161823744525373,0.005280508485800321,2,0,0.0,0.0,0.0,0.5,38,-1.3406828719802135
322384371,5,4,4,0.2,0.8,164155.8,31566538027.359997,0.018144019105477582,0.00012668663007937852,0.01426269705294338,4,5,0.8333333333333333,1.1666666666666667,0.9166666666666666,1.0,15,3.681574067633168
322468844,14,9,4,0.35714285714285715,0.2857142857142857,64328.5,10082709854.821428,0.03943994740581429,0.0009347635725976909,0.05865571411513536,9,11,0.3888888888888889,1.9722222222222223,0.6111111111111113,1.0,32,1.391904364358621
322792870,6,6,7,0.0,1.1666666666666667,143446.16666666666,19895959979.138893,0.06336800189850289,9.965773069572194e-06,0.06492602791365094,4,0,0.0,0.0,0.0,0.25,12,-1.3406828719802135
322845827,4,3,8,0.25,2.0,262480.25,68125468899.1875,0.03170603690445328,0.0005179016732616166,0.03617988616101948,3,1,0.0,1.0,0.3333333333333333,0.6666666666666666,134,-1.6051889926515677
323031427,3,3,4,0.0,1.3333333333333333,284810.3333333333,76834415253.55556,0.04405020093916279,0.00022775681961108743,0.04178471339209111,3,0,0.0,0.0,0.0,0.3333333333333333,20,-1.3406828719802135
323049759,0,0,2,,,,,,,,0,0,0.0,0.0,0.0,0.0,0,-1.3406828719802135
323651281,6,3,10,0.5,1.6666666666666667,119312.0,9973919115.666666,0.027115363090758394,0.00018410913026679725,0.026141002085770897,3,1,0.0,1.0,0.3333333333333333,0.6666666666666666,15,-1.6051889926515677
324057132,5,5,8,0.0,1.6,161406.6,38610972229.44,0.06109786969373873,0.0006764216390945962,0.06988249759546394,5,1,0.0,1.0,0.1,0.4,18,-2.319116506907407
324155134,11,4,5,0.6363636363636364,0.45454545454545453,81271.45454545454,14029314551.520662,0.009755670576045749,0.0001522735299068959,0.014787663922882003,4,5,0.8333333333333333,1.1666666666666667,0.9166666666666666,1.0,17,3.681574067633168
324930189,9,6,10,0.3333333333333333,1.1111111111111112,77479.11111111111,5714753030.76543,0.07424509132524984,0.0017035146857487008,0.09250428085010753,6,1,0.0,1.0,0.06666666666666667,0.3333333333333333,47,-2.4211061518010983
325138246,10,9,8,0.1,0.8,91095.3,11636729522.01,0.04829006854237247,0.0010204495714340811,0.052233865944004365,8,9,0.29166666666666663,2.1785714285714284,0.5892857142857142,1.0,40,0.2227285743985976
325272938,3,3,1,0.0,0.3333333333333333,239689.33333333334,48719213136.888885,0.03620276220853991,0.0,0.027152071656404958,3,1,0.0,1.0,0.3333333333333333,0.6666666666666666,63,-1.6051889926515677
