measure,feature,n,rho,p,p_FDR,fdr_significant
AQT Pillow - Originality,search_vs_link_ratio,104,0.09095588874427958,0.3584795652188751,0.6426167302058008,False
AUT Belt - Originality,char_path_length,107,0.08842887219676265,0.36506946924388123,0.6426167302058008,False
AQT Complexity Score,forward_flow,100,-0.09104110411041103,0.36767469428041366,0.6426167302058008,False
AQT Pillow - Originality,revisit_rate,104,-0.0887647051941364,0.3702230582126464,0.6426167302058008,False
GF - Score,n_pages,107,0.08709500760495945,0.37237542648562255,0.6426167302058008,False
AQT Pencil - Originality,mean_dwell,105,0.08793499058998133,0.37238815647823326,0.6426167302058008,False
AUT Belt - Originality,revisit_rate,105,-0.08675172097662914,0.37888094086472435,0.6480858199001864,False
AQT Complexity Score,global_efficiency,107,-0.08508402721415316,0.3835575586451057,0.6503802081373532,False
Curiosity - Score,char_path_length,107,-0.08338960895443118,0.3931349512482138,0.6587703559756589,False
AQT Pencil - Number of Answers,mean_step_distance,100,0.0852910118588237,0.3988226391012092,0.6587703559756589,False
AQT Pillow - Number of Answers,global_efficiency,107,0.08149263289937052,0.4040249797923923,0.6587703559756589,False
GF - Score,path_breadth,107,0.0813905050893347,0.40461627154312313,0.6587703559756589,False
AUT Belt - Originality,bh_score,107,0.08125576797100921,0.405397142138867,0.6587703559756589,False
AQT Pencil - Originality,global_efficiency,107,-0.07584918814936138,0.43745725661984486,0.7049930995113203,False
GF - Score,var_dwell,105,-0.07598126694605602,0.44107989559384925,0.7050047511541033,False
AQT Pencil - Number of Answers,global_efficiency,107,0.07384886875263623,0.44967358775428823,0.7079367894344325,False
Verbal Fluency - Forward Flow,n_pages,107,0.07376739194870893,0.45017518917881866,0.7079367894344325,False
AQT Pencil - Originality,n_unique_pages,107,-0.07200070472388911,0.4611281116885163,0.7193598542340854,False
Verbal Fluency - Number of Answers,n_pages,107,0.07039320177267343,0.47122035162453246,0.7218457765206003,False
AQT Pillow - Originality,bh_score,106,-0.06979427651500257,0.4771316022798602,0.7218457765206003,False
AUT Broom - Number of Answers,n_searches,107,0.06945451616496404,0.4771686929526964,0.7218457765206003,False
AQT Pillow - Number of Answers,forward_flow,100,0.071839639389213,0.47752874446747406,0.7218457765206003,False
GF - Score,n_searches,107,0.06592267842285485,0.49990800714671485,0.7498620107200723,False
AQT Pencil - Originality,bh_score,107,-0.06488089326606893,0.5067220305521887,0.7502399161727925,False
AQT Pencil - Number of Answers,clustering,107,0.0647084262984698,0.507854712486198,0.7502399161727925,False
AUT Broom - Originality,mean_step_distance,100,0.0643792665527451,0.524542299745563,0.7652982002276228,False
AQT Pillow - Number of Answers,path_breadth,107,0.06108025604689212,0.5319828804155926,0.7652982002276228,False
AQT Pillow - Number of Answers,search_vs_link_ratio,105,0.06031928783715887,0.5410361294640966,0.7652982002276228,False
AQT Pillow - Originality,n_pages,106,-0.05914471188542194,0.5470146758291115,0.7652982002276228,False
AQT Pillow - Originality,mean_step_distance,99,-0.06108834613982084,0.5480642709246839,0.7652982002276228,False
Curiosity - Score,bh_score,107,-0.05853335865173383,0.5492555901788587,0.7652982002276228,False
Curiosity - Score,search_vs_link_ratio,105,-0.05883655743708399,0.5510448337842208,0.7652982002276228,False
AQT Pencil - Originality,forward_flow,100,0.06009158117446023,0.5525804119301886,0.7652982002276228,False
AUT Belt - Number of Answers,bh_score,107,0.05793256487610097,0.5533694678568966,0.7652982002276228,False
AQT Pillow - Originality,n_searches,106,-0.05673421685511283,0.5634975500935835,0.773817058227104,False
Verbal Fluency - Forward Flow,revisit_rate,105,-0.05488246367393706,0.5781661889097218,0.7882933268697281,False
Curiosity - Score,global_efficiency,107,-0.05379127083387308,0.5821243029191838,0.7882933268697281,False
Verbal Fluency - Number of Answers,revisit_rate,105,-0.05249323400147132,0.5948481700958623,0.7986289021298814,False
Verbal Fluency - Forward Flow,mean_dwell,105,-0.05205266431681525,0.5979477933895522,0.7986289021298814,False
AUT Broom - Number of Answers,var_dwell,105,0.0509858464974087,0.6054831463490566,0.7999613318229992,False
AQT Pillow - Originality,n_unique_pages,106,-0.04977226686847263,0.6123827801514494,0.7999613318229992,False
AUT Belt - Originality,global_efficiency,107,-0.04929257879734767,0.614117891944914,0.7999613318229992,False
AQT Pillow - Number of Answers,bh_score,107,0.04858165786117896,0.6192428889648843,0.7999613318229992,False
AQT Complexity Score,search_vs_link_ratio,105,0.04859916289440493,0.6224909601951406,0.7999613318229992,False
Verbal Fluency - Number of Answers,mean_dwell,105,-0.0484501477818775,0.6235596022415173,0.7999613318229992,False
AUT Broom - Originality,path_breadth,107,0.04170934902988975,0.6696976302550556,0.85353619542311,False
Verbal Fluency - Number of Answers,forward_flow,100,0.04187146857064009,0.6791437165815752,0.8599547060610855,False
AQT Complexity Score,mean_dwell,105,-0.039736678415923696,0.6873420802971841,0.8647206816641995,False
AUT Broom - Originality,bh_score,107,0.03719121738372637,0.7037064320910255,0.8705118045474849,False
GF - Score,var_step_distance,100,-0.0383602690647858,0.7047477377941771,0.8705118045474849,False
Curiosity - Score,path_breadth,107,0.036976522009635256,0.705337769838475,0.8705118045474849,False
